,Author,collaborators
106,A V Lomar,"['D Diament', 'J R Torres']"
107,D Diament,"['A V Lomar', 'J R Torres']"
108,J R Torres,"['A V Lomar', 'D Diament']"
109,B Dai,"['J Xiao', 'Z Yan', 'C Shen', 'S Li', 'Z Fang', 'Z You', 'Z Chen', 'H Yan']"
110,J Xiao,"['B Dai', 'Z Yan', 'C Shen', 'S Li', 'Z Fang', 'Y Xie', 'M Xu', 'C Wang', 'Y Xiao', 'C Jiang', 'X You', 'F Zhao', 'T Zeng', 'S Liu', 'X Kuang', 'Y Wu']"
111,Z Yan,"['B Dai', 'J Xiao', 'C Shen', 'S Li', 'Z Fang', 'W Z Yang']"
112,C Shen,"['B Dai', 'J Xiao', 'Z Yan', 'S Li', 'Z Fang']"
113,Z Fang,"['B Dai', 'J Xiao', 'Z Yan', 'C Shen', 'S Li', 'Z You', 'Z Chen', 'H Yan']"
114,P R Field,"['J L Mitchell', 'A Santiago', 'D J Dickeson', 'S W Chan', 'D W Ho', 'A M Murphy', 'A J Cuzzubbo', 'P L Devine']"
115,J L Mitchell,"['P R Field', 'A Santiago', 'D J Dickeson', 'S W Chan', 'D W Ho', 'A M Murphy', 'A J Cuzzubbo', 'P L Devine']"
116,A Santiago,"['P R Field', 'J L Mitchell', 'D J Dickeson', 'S W Chan', 'D W Ho', 'A M Murphy', 'A J Cuzzubbo', 'P L Devine']"
117,D J Dickeson,"['P R Field', 'J L Mitchell', 'A Santiago', 'S W Chan', 'D W Ho', 'A M Murphy', 'A J Cuzzubbo', 'P L Devine']"
118,S W Chan,"['P R Field', 'J L Mitchell', 'A Santiago', 'D J Dickeson', 'D W Ho', 'A M Murphy', 'A J Cuzzubbo', 'P L Devine']"
119,D W Ho,"['P R Field', 'J L Mitchell', 'A Santiago', 'D J Dickeson', 'S W Chan', 'A M Murphy', 'A J Cuzzubbo', 'P L Devine']"
120,A M Murphy,"['P R Field', 'J L Mitchell', 'A Santiago', 'D J Dickeson', 'S W Chan', 'D W Ho', 'A J Cuzzubbo', 'P L Devine']"
