,Author,collaborators
121,A J Cuzzubbo,"['P R Field', 'J L Mitchell', 'A Santiago', 'D J Dickeson', 'S W Chan', 'D W Ho', 'A M Murphy', 'P L Devine']"
122,P L Devine,"['P R Field', 'J L Mitchell', 'A Santiago', 'D J Dickeson', 'S W Chan', 'D W Ho', 'A M Murphy', 'A J Cuzzubbo']"
123,Z s Nemes,['Z Péterfi']
124,Z Péterfi,['Z s Nemes']
125,S C Sehgal,"['A P Sugunan', 'M V Murhekar', 'S Sharma', 'P Vijayachari', 'T Umapathi', 'Subarna Roy', 'D Biswas', 'Marga G A Goris', 'W J Terpstra', 'R A Hartskeerl', 'K Natarajaseenivasan', 'S Roy', 'J Selvin', 'P Manickam', 'M D Gupte']"
126,A P Sugunan,"['S C Sehgal', 'M V Murhekar', 'S Sharma', 'P Vijayachari', 'T Umapathi', 'Subarna Roy', 'D Biswas', 'Niyaz Ahmed', 'Sheikh Ghousunnissa', 'K Rajender Rao', 'Seyed E Hasnain', 'Subhash C Sehgal', 'K Natarajaseenivasan', 'S Roy', 'J Selvin', 'A N Shriram', 'P Manickam', 'M D Gupte', 'S S Singh', 'P P Mathur', 'M Rajamani', 'Anwesh Maile']"
127,M V Murhekar,"['S C Sehgal', 'A P Sugunan', 'S Sharma', 'P Vijayachari']"
128,S Sharma,"['S C Sehgal', 'A P Sugunan', 'M V Murhekar', 'P Vijayachari', 'K Natarajaseenivasan', 'S Roy', 'D Biswas', 'J Selvin', 'Subarna Roy', 'P Manickam', 'M D Gupte']"
129,P Vijayachari,"['S C Sehgal', 'A P Sugunan', 'M V Murhekar', 'S Sharma', 'T Umapathi', 'Subarna Roy', 'D Biswas', 'Marga G A Goris', 'W J Terpstra', 'R A Hartskeerl', 'Niyaz Ahmed', 'Sheikh Ghousunnissa', 'K Rajender Rao', 'Seyed E Hasnain', 'Subhash C Sehgal', 'K Natarajaseenivasan', 'S Roy', 'S Manjulata Devi', 'M de los A Valverde', ""Robert S Machang'u"", 'William A Ellis', 'Rudy A Hartskeerl', 'J Selvin', 'A N Shriram', 'P Manickam', 'M D Gupte', 'S C Artiushin', 'S Velineni', 'K Vedhagiri', 'J F Timoney', 'M Punnam Chander', 'C Kartick', 'J Gangadhar', 'K Vinod Kumar', 'Chandan Lall', 'R Vimal Raj', 'K Mallilankaraman', 'P P Mathur', 'N Y Sardesai', 'D B Weiner', 'K E Ugen', 'K Muthumani', 'S S Singh', 'P Surya', 'G S J Bharathi', 'M Anwesh', 'S Arun', 'N Muruganandam', 'R Avijit', 'M Rajamani', 'Anwesh Maile']"
130,S L Branch,"['P N Levett', 'C N Edwards', 'C U Whittington', 'H Paxton', 'C Hull-Jackson', 'M B Glass', 'M D Ari', 'S L Bragg']"
131,C N Edwards,"['P N Levett', 'S L Branch', 'C U Whittington', 'H Paxton', 'C Hull-Jackson', 'M B Glass', 'M D Ari', 'S L Bragg']"
132,L Ciceroni,"['E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco', 'D Lombardo', 'J Simeoni', 'M Castellani Pastoris']"
133,E Stepan,"['L Ciceroni', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
134,A Pinto,"['L Ciceroni', 'E Stepan', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco', 'D Lombardo', 'J Simeoni', 'M Castellani Pastoris']"
135,P Pizzocaro,"['L Ciceroni', 'E Stepan', 'A Pinto', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
136,G Dettori,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
137,L Franzin,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
138,R Lupidi,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
139,S Mansueto,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco', 'G Vitale', 'C La Russa', 'A Galioto', 'N Chifari', 'C Mocciaro', 'R Caruso', 'A Micalizzi', 'P Mansueto', 'S Di Rosa']"
140,A Manera,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
141,A Ioli,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
142,L Marcuccio,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'R Grillo', 'S Ciarrocchi', 'M Cinco']"
143,R Grillo,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'S Ciarrocchi', 'M Cinco']"
144,S Ciarrocchi,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'M Cinco', 'D Lombardo', 'J Simeoni', 'M Castellani Pastoris']"
145,M Cinco,"['L Ciceroni', 'E Stepan', 'A Pinto', 'P Pizzocaro', 'G Dettori', 'L Franzin', 'R Lupidi', 'S Mansueto', 'A Manera', 'A Ioli', 'L Marcuccio', 'R Grillo', 'S Ciarrocchi', 'R Murgia']"
146,M B Heinemann,"['J F Garcia', 'C M Nunes', 'F Gregori', 'Z M Higa', 'S A Vasconcellos', 'L J Richtzenhain', 'A D Rossini', 'A F Teixeira', 'A Souza Filho', 'G O Souza', 'E C Romero', 'A L T O Nascimento']"
147,J F Garcia,"['M B Heinemann', 'C M Nunes', 'F Gregori', 'Z M Higa', 'S A Vasconcellos', 'L J Richtzenhain']"
148,C M Nunes,"['M B Heinemann', 'J F Garcia', 'F Gregori', 'Z M Higa', 'S A Vasconcellos', 'L J Richtzenhain']"
149,F Gregori,"['M B Heinemann', 'J F Garcia', 'C M Nunes', 'Z M Higa', 'S A Vasconcellos', 'L J Richtzenhain']"
150,Z M Higa,"['M B Heinemann', 'J F Garcia', 'C M Nunes', 'F Gregori', 'S A Vasconcellos', 'L J Richtzenhain']"
151,S A Vasconcellos,"['M B Heinemann', 'J F Garcia', 'C M Nunes', 'F Gregori', 'Z M Higa', 'L J Richtzenhain', 'W Lilenbaum', 'R Varges', 'F Z Brandão', 'A Cortez', 'S O de Souza', 'P E Brandão', 'P Ristow', 'S O Souza', 'D Monaris', 'M E Sbrogio-Almeida', 'C C Dib', 'T A Canhamero', 'G O Souza', 'L C S Ferreira', 'P A E Abreu', 'A D Rossini', 'A F Teixeira', 'A Souza Filho', 'E C Romero', 'A L T O Nascimento']"
152,L J Richtzenhain,"['M B Heinemann', 'J F Garcia', 'C M Nunes', 'F Gregori', 'Z M Higa', 'S A Vasconcellos', 'W Lilenbaum', 'R Varges', 'F Z Brandão', 'A Cortez', 'S O de Souza', 'P E Brandão', 'P Ristow', 'S O Souza']"
153,S R Rathinam,"['E T Cunningham', 'C Gowri Priya', 'K Bhavani', 'V R Muthukkaruppan', 'Ashutosh Verma', 'Brian Stevenson', 'John F Timoney', 'Shanthi Rathakrishnan', 'G Jeya Kohila', 'P Chidambaranathan Gowri', 'K S Balagiri']"
154,E T Cunningham,['S R Rathinam']
155,F Guidugli,"['A A Castro', 'A N Atallah']"
156,A A Castro,"['F Guidugli', 'A N Atallah']"
157,A N Atallah,"['F Guidugli', 'A A Castro']"
158,V I Matiash,[]
159,D Lombardo,"['L Ciceroni', 'A Pinto', 'S Ciarrocchi', 'J Simeoni']"
160,J Simeoni,"['L Ciceroni', 'D Lombardo', 'A Pinto', 'S Ciarrocchi']"
161,N Lerstloompleephunt,"['T Tantawichien', 'V Sitprija']"
162,T Tantawichien,"['N Lerstloompleephunt', 'V Sitprija']"
163,V Sitprija,"['N Lerstloompleephunt', 'T Tantawichien']"
164,B Gummow,"['J G Myburgh', 'P N Thompson', 'J J van der Lugt', 'B T Spencer', 'U W Hesterberg', 'R Bagnall', 'B Bosch', 'K Perrett', 'R Horner', 'C Wangdi', 'J Picard', 'R Tan', 'F Condon', 'B Dowling', 'K Tsegay', 'A D Potts', 'N Aklilu', 'C Lötter', 'V Simbizi', 'M N Saulez', 'A Potts', 'R Moerane', 'G Ramsay', 'C Mubamba', 'C Abolnik']"
165,J G Myburgh,"['B Gummow', 'P N Thompson', 'J J van der Lugt', 'B T Spencer']"
166,P N Thompson,"['B Gummow', 'J G Myburgh', 'J J van der Lugt', 'B T Spencer']"
167,J J van der Lugt,"['B Gummow', 'J G Myburgh', 'P N Thompson', 'B T Spencer']"
168,B T Spencer,"['B Gummow', 'J G Myburgh', 'P N Thompson', 'J J van der Lugt']"
169,D M Bulach,"['T Kalambaheti', 'A de la Peña-Moctezuma', 'B Adler']"
170,T Kalambaheti,"['D M Bulach', 'A de la Peña-Moctezuma', 'B Adler']"
171,A de la Peña-Moctezuma,"['D M Bulach', 'T Kalambaheti', 'B Adler']"
172,B Adler,"['D M Bulach', 'T Kalambaheti', 'A de la Peña-Moctezuma']"
173,N A Faber,"['M Crawford', 'R B LeFebvre', 'N C Buyukmihci', 'J E Madigan', 'N H Willits']"
174,M Crawford,"['N A Faber', 'R B LeFebvre', 'N C Buyukmihci', 'J E Madigan', 'N H Willits']"
175,R B LeFebvre,"['N A Faber', 'M Crawford', 'N C Buyukmihci', 'J E Madigan', 'N H Willits']"
176,N C Buyukmihci,"['N A Faber', 'M Crawford', 'R B LeFebvre', 'J E Madigan', 'N H Willits']"
177,J E Madigan,"['N A Faber', 'M Crawford', 'R B LeFebvre', 'N C Buyukmihci', 'N H Willits']"
178,N H Willits,"['N A Faber', 'M Crawford', 'R B LeFebvre', 'N C Buyukmihci', 'J E Madigan']"
179,A Vieira,"['M S Barros', 'C Valente', 'L Trindade', 'M J Faria', 'F Freitas']"
180,M S Barros,"['A Vieira', 'C Valente', 'L Trindade', 'M J Faria', 'F Freitas']"
181,C Valente,"['A Vieira', 'M S Barros', 'L Trindade', 'M J Faria', 'F Freitas']"
182,L Trindade,"['A Vieira', 'M S Barros', 'C Valente', 'M J Faria', 'F Freitas']"
183,M J Faria,"['A Vieira', 'M S Barros', 'C Valente', 'L Trindade', 'F Freitas']"
184,F Freitas,"['A Vieira', 'M S Barros', 'C Valente', 'L Trindade', 'M J Faria']"
185,J E Ochoa,"['A Sánchez', 'I Ruiz']"
186,A Sánchez,"['J E Ochoa', 'I Ruiz']"
187,I Ruiz,"['J E Ochoa', 'A Sánchez']"
188,A O Coker,"['R D Isokpehi', 'B N Thomas', 'A F Fagbenro-Beyioku', 'S A Omilabu']"
189,R D Isokpehi,"['A O Coker', 'B N Thomas', 'A F Fagbenro-Beyioku', 'S A Omilabu']"
190,B N Thomas,"['A O Coker', 'R D Isokpehi', 'A F Fagbenro-Beyioku', 'S A Omilabu']"
191,A F Fagbenro-Beyioku,"['A O Coker', 'R D Isokpehi', 'B N Thomas', 'S A Omilabu']"
192,S A Omilabu,"['A O Coker', 'R D Isokpehi', 'B N Thomas', 'A F Fagbenro-Beyioku']"
193,T J Coleman,[]
194,C Sonrier,"['C Branger', 'V Michel', 'N Ruvoën-Clouet', 'J P Ganière', 'G André-Fontaine', 'B Chatrenet', 'B Klonjkowski', 'N Ruvoen-Clouet', 'A Aubert', 'M Eloit', 'A Menard', 'C Fillonneau', 'F Rakotovao']"
195,C Branger,"['C Sonrier', 'V Michel', 'N Ruvoën-Clouet', 'J P Ganière', 'G André-Fontaine', 'B Chatrenet', 'B Klonjkowski', 'N Ruvoen-Clouet', 'A Aubert', 'M Eloit', 'A W Gray', 'H L B M Klaasen', 'A Gauvrit', 'F Aviat', 'J M Bach', 'B Blanchard', 'B Blanchet', 'J Hars', 'F Mansotte', 'L Brasme', 'C De Champs', 'P Bolut', 'P Mondot', 'J Faliu', 'S Rochereau', 'A Kodjo', 'G Andre-Fontaine', 'S Rochereau-Roulet', 'J M Estavoyer', 'J L Orsonneau', 'C Thorin']"
196,V Michel,"['C Sonrier', 'C Branger', 'N Ruvoën-Clouet', 'J P Ganière', 'G André-Fontaine', 'N Ruvoen-Clouet', 'A Menard', 'C Fillonneau', 'F Rakotovao', 'F Aviat', 'B Blanchard', 'B Blanchet', 'J Hars', 'F Mansotte', 'L Brasme', 'C De Champs', 'P Bolut', 'P Mondot', 'J Faliu', 'S Rochereau', 'A Kodjo', 'G Andre-Fontaine']"
197,N Ruvoën-Clouet,"['C Sonrier', 'C Branger', 'V Michel', 'J P Ganière', 'G André-Fontaine']"
198,J P Ganière,"['C Sonrier', 'C Branger', 'V Michel', 'N Ruvoën-Clouet', 'G André-Fontaine', 'N Ruvoen-Clouet', 'A Menard', 'C Fillonneau', 'F Rakotovao']"
199,G André-Fontaine,"['C Sonrier', 'C Branger', 'V Michel', 'N Ruvoën-Clouet', 'J P Ganière', 'B Chatrenet', 'B Klonjkowski', 'N Ruvoen-Clouet', 'A Aubert', 'M Eloit', 'A Menard', 'C Fillonneau', 'F Rakotovao', 'A Perra', 'V Servas', 'G Terrier', 'D Postic', 'G Baranton', 'V Vaillant', 'I Capek', 'A W Gray', 'H L B M Klaasen', 'A Gauvrit', 'F Aviat', 'J M Bach']"
200,C I Rühl-Fehlert,"['S Brem', 'W Feller', 'H Kopp', 'P Meyer', 'M Rinke']"
201,S Brem,"['C I Rühl-Fehlert', 'W Feller', 'H Kopp', 'P Meyer', 'M Rinke', 'T Rocha', 'W A Ellis', 'J Montgomery', 'C Gilmore', 'J Regalla', 'V Geisen', 'C Stengel', 'W Müller', 'C Greene', 'K Hartmann', 'G Martins', 'A P Loureiro', 'C Hamond', 'M H Pinna', 'S Bremont', 'P Bourhy', 'W Lilenbaum', 'P Pinto']"
202,W Feller,"['C I Rühl-Fehlert', 'S Brem', 'H Kopp', 'P Meyer', 'M Rinke']"
203,H Kopp,"['C I Rühl-Fehlert', 'S Brem', 'W Feller', 'P Meyer', 'M Rinke']"
204,P Meyer,"['C I Rühl-Fehlert', 'S Brem', 'W Feller', 'H Kopp', 'M Rinke']"
205,M Rinke,"['C I Rühl-Fehlert', 'S Brem', 'W Feller', 'H Kopp', 'P Meyer']"
206,E Kupek,"['M C de Sousa Santos Faversani', 'J M de Souza Philippi']"
207,M C de Sousa Santos Faversani,"['E Kupek', 'J M de Souza Philippi']"
208,J M de Souza Philippi,"['E Kupek', 'M C de Sousa Santos Faversani']"
209,L Smythe,"['M Dohnt', 'M Symonds', 'L Barnett', 'M Moore', 'D Brookes', 'M Vallanjon']"
210,M Dohnt,"['L Smythe', 'M Symonds', 'L Barnett', 'M Moore', 'D Brookes', 'M Vallanjon']"
211,M Symonds,"['L Smythe', 'M Dohnt', 'L Barnett', 'M Moore', 'D Brookes', 'M Vallanjon']"
212,L Barnett,"['L Smythe', 'M Dohnt', 'M Symonds', 'M Moore', 'D Brookes', 'M Vallanjon']"
213,M Moore,"['L Smythe', 'M Dohnt', 'M Symonds', 'L Barnett', 'D Brookes', 'M Vallanjon']"
214,D Brookes,"['L Smythe', 'M Dohnt', 'M Symonds', 'L Barnett', 'M Moore', 'M Vallanjon']"
215,M Vallanjon,"['L Smythe', 'M Dohnt', 'M Symonds', 'L Barnett', 'M Moore', 'D Brookes']"
216,J Terry,"['M Trent', 'M Bartlett']"
217,M Trent,"['J Terry', 'M Bartlett']"
218,M Bartlett,"['J Terry', 'M Trent']"
219,D B Coursin,"['S J Updike', 'D G Maki']"
220,S J Updike,"['D B Coursin', 'D G Maki']"
221,D G Maki,"['D B Coursin', 'S J Updike']"
222,M A Martínez García,"['A de Diego Damiá', 'R Menéndez Villanueva', 'J L López Hontagas']"
223,A de Diego Damiá,"['M A Martínez García', 'R Menéndez Villanueva', 'J L López Hontagas']"
224,R Menéndez Villanueva,"['M A Martínez García', 'A de Diego Damiá', 'J L López Hontagas']"
225,J L López Hontagas,"['M A Martínez García', 'A de Diego Damiá', 'R Menéndez Villanueva']"
226,A Marangoni,"['R Aldini', 'V Sambri', 'M Montagnani', 'G Ballardini', 'E Storni', 'R Cevenini']"
227,R Aldini,"['A Marangoni', 'V Sambri', 'M Montagnani', 'G Ballardini', 'E Storni', 'R Cevenini']"
228,V Sambri,"['A Marangoni', 'R Aldini', 'M Montagnani', 'G Ballardini', 'E Storni', 'R Cevenini']"
229,M Montagnani,"['A Marangoni', 'R Aldini', 'V Sambri', 'G Ballardini', 'E Storni', 'R Cevenini']"
230,G Ballardini,"['A Marangoni', 'R Aldini', 'V Sambri', 'M Montagnani', 'E Storni', 'R Cevenini']"
231,E Storni,"['A Marangoni', 'R Aldini', 'V Sambri', 'M Montagnani', 'G Ballardini', 'R Cevenini']"
232,R Cevenini,"['A Marangoni', 'R Aldini', 'V Sambri', 'M Montagnani', 'G Ballardini', 'E Storni']"
233,E P Bethlem,['C R Carvalho']
234,C R Carvalho,['E P Bethlem']
235,C S Butler,['S A Endara']
236,S A Endara,['C S Butler']
237,S H Lee,"['K A Kim', 'Y G Park', 'I W Seong', 'M J Kim', 'Y J Lee']"
238,K A Kim,"['S H Lee', 'Y G Park', 'I W Seong', 'M J Kim', 'Y J Lee']"
239,Y G Park,"['S H Lee', 'K A Kim', 'I W Seong', 'M J Kim', 'Y J Lee']"
240,I W Seong,"['S H Lee', 'K A Kim', 'Y G Park', 'M J Kim', 'Y J Lee']"
241,Y J Lee,"['S H Lee', 'K A Kim', 'Y G Park', 'I W Seong', 'M J Kim']"
242,R Saravanan,"['P Rajendran', 'S P Thyagarajan', 'L D Smythe', 'M A Norris', 'M L Symonds', 'M F Dohnt', 'S P Garajan']"
243,P Rajendran,"['R Saravanan', 'S P Thyagarajan', 'L D Smythe', 'M A Norris', 'M L Symonds', 'M F Dohnt', 'S P Garajan']"
244,S P Thyagarajan,"['R Saravanan', 'P Rajendran', 'L D Smythe', 'M A Norris', 'M L Symonds', 'M F Dohnt']"
245,L D Smythe,"['R Saravanan', 'P Rajendran', 'S P Thyagarajan', 'M A Norris', 'M L Symonds', 'M F Dohnt', 'H E Field', 'L J Barnett', 'C S Smith', 'M R Moore', 'P F Rolfe', 'T E Cox', 'L K-P Leung', 'A T Slack', 'R J G Zwijnenberg', 'M I Symonds', 'J-A L M L Toribio', 'S B Craig', 'G C Graham', 'M-A Burns', 'D B McKay', 'R J Wilson', 'C C Jansen', 'S M Tulsiani', 'C L Lau', 'A F Van Den Hurk', 'S Subharat', 'P R Wilson', 'C Heuer', 'J M Collins-Emerson', 'M A Burns', 'T A Collet', 'S J Wynwood', 'S L Weier']"
246,M A Norris,"['R Saravanan', 'P Rajendran', 'S P Thyagarajan', 'L D Smythe', 'M L Symonds', 'M F Dohnt']"
247,M L Symonds,"['R Saravanan', 'P Rajendran', 'S P Thyagarajan', 'L D Smythe', 'M A Norris', 'M F Dohnt', 'H E Field', 'L J Barnett', 'C S Smith', 'M R Moore', 'P F Rolfe', 'A T Slack']"
248,M F Dohnt,"['R Saravanan', 'P Rajendran', 'S P Thyagarajan', 'L D Smythe', 'M A Norris', 'M L Symonds', 'H E Field', 'L J Barnett', 'C S Smith', 'M R Moore', 'P F Rolfe', 'A T Slack', 'R J G Zwijnenberg', 'M I Symonds', 'J-A L M L Toribio', 'S B Craig', 'G C Graham', 'M-A Burns', 'D B McKay', 'R J Wilson', 'C C Jansen', 'S M Tulsiani', 'S Subharat', 'P R Wilson', 'C Heuer', 'J M Collins-Emerson', 'M A Burns']"
249,K Matsuo,"['E Isogai', 'Y Araki']"
250,E Isogai,"['K Matsuo', 'Y Araki']"
251,Y Araki,"['K Matsuo', 'E Isogai']"
252,I Steffen,"['R Frei', 'A F Widmer']"
253,R Frei,"['I Steffen', 'A F Widmer']"
254,A F Widmer,"['I Steffen', 'R Frei']"
255,G Friman,['L Wesslén']
256,L Wesslén,['G Friman']
257,Chih-Wei Yang,"['Mai-Szu Wu', 'Ming-Jeng Pan', 'Jenn-Jye Hong', 'Chun-Chen Yu', 'Alain Vandewalle', 'Chiu-Ching Huang', 'Ming-Jen Pan', 'Chiz-Tzung Chang', 'Yung-Chih Chen', 'Yu-Ching Lin', 'Meng-Chih Lin', 'Yin-Huang Tsai', 'Cheng-Ta Yang', 'Ming-Ling Chang', 'Jeng-Chang Chen', 'Yu-Pin Ho', 'Cheng-Hui Lin', 'Deng-Yn Lin', 'Jung-Yu Tung', 'Shao-Wen Chou', 'Chien-Chih Lin', 'Yuh-Ju Sun', 'Shen-Hsing Hsu', 'Yueh-Yu Lo', 'Yi-Ching Ko', 'Cheng-Chieh Hung', 'Fan-Gang Tseng', 'Chien-Chung Fu', 'Rong-Long Pan', 'Ya-Chung Tian', 'Yi-Jung Li', 'Yung-Chang Chen', 'Ming-Yang Chang', 'Tzung-Hai Yen', 'Hsiang-Hao Hsu', 'Aled Phillips', 'Huang-Yu Yang', 'Chan-Yu Lin', 'Min-Jeng Pan', 'Chih-Hsiung Lee', 'Shin-Shu Wu', 'Cheng-Hao Weng', 'Kwan-Hsing Chen', 'Li-Fang Chou', 'Yu-Tin Chen', 'Chia-Wei Lu', 'Chuan-Yi Tang', 'Cheng-Hsun Chiu', 'Ting-Wen Chen', 'Petrus Tang', 'Yi-Chuan Cheng', 'Tsu-Lin Ma', 'Chung-Ying Tsai', 'Chung-Hung Hong', 'Kuan-Hsing Chen', 'Hsiang-Yu Tang', 'Mei-Ling Cheng', 'Chih-Hsiang Chang', 'Wei-Chiao Sun', 'Su-Wei Chang', 'Cheng-Chia Lee', 'Pei-Chun Fan', 'Chih-Wei Huang', 'Che-Ting Wu', 'Chien Li']"
258,Mai-Szu Wu,"['Chih-Wei Yang', 'Ming-Jeng Pan', 'Jenn-Jye Hong', 'Chun-Chen Yu', 'Alain Vandewalle', 'Chiu-Ching Huang', 'Ming-Jen Pan', 'Chiz-Tzung Chang', 'Yung-Chih Chen', 'Ya-Chung Tian', 'Cheng-Chieh Hung', 'Yi-Jung Li', 'Yung-Chang Chen', 'Ming-Yang Chang', 'Tzung-Hai Yen', 'Hsiang-Hao Hsu', 'Aled Phillips', 'Huang-Yu Yang', 'Chan-Yu Lin', 'Min-Jeng Pan', 'Chih-Hsiung Lee', 'Shin-Shu Wu', 'Cheng-Hao Weng', 'Kwan-Hsing Chen']"
259,Ming-Jeng Pan,"['Chih-Wei Yang', 'Mai-Szu Wu', 'Jenn-Jye Hong', 'Chun-Chen Yu', 'Alain Vandewalle', 'Chiu-Ching Huang', 'Wang-Ju Hsieh', 'Ming-Ling Chang', 'Jeng-Chang Chen', 'Yu-Pin Ho', 'Cheng-Hui Lin', 'Deng-Yn Lin', 'Yung-Fu Chang', 'Chia-Sui Chen', 'Raghavan U M Palaniappan', 'Hongxuan He', 'Sean P McDonough', 'Steve C Barr', 'Weiwei Yan', 'Syed M Faisal', 'Chao-Fu Chang', 'Thomas J Divers', 'Stephen C Barr', 'Bruce Akey', 'Li-Fang Chou', 'Yu-Tin Chen', 'Chia-Wei Lu', 'Yi-Ching Ko', 'Chuan-Yi Tang', 'Ya-Chung Tian', 'Cheng-Hsun Chiu', 'Cheng-Chieh Hung', 'Kun-Wei Chan', 'Yun-Hsiu Hsu', 'Wei-Ling Hu', 'Jyh-Mirn Lai', 'Kwo-Ching Huang', 'Shih-Jen Chou', 'Ting-Wen Chen', 'Petrus Tang', 'Yu-Tsung Cheng', 'Kae-Woei Liang', 'Tsun-Jui Liu', 'Kuo-Yang Wang', 'Wei-Win Lin']"
260,Jenn-Jye Hong,"['Chih-Wei Yang', 'Mai-Szu Wu', 'Ming-Jeng Pan', 'Chun-Chen Yu', 'Alain Vandewalle', 'Chiu-Ching Huang']"
261,Chun-Chen Yu,"['Chih-Wei Yang', 'Mai-Szu Wu', 'Ming-Jeng Pan', 'Jenn-Jye Hong', 'Alain Vandewalle', 'Chiu-Ching Huang', 'Huang-Yu Yang', 'Tzung-Hai Yen', 'Chan-Yu Lin', 'Yung-Chang Chen', 'Min-Jeng Pan', 'Chih-Hsiung Lee', 'Shin-Shu Wu', 'Cheng-Hao Weng', 'Kwan-Hsing Chen', 'Cheng-Chieh Hung']"
262,Alain Vandewalle,"['Chih-Wei Yang', 'Mai-Szu Wu', 'Ming-Jeng Pan', 'Jenn-Jye Hong', 'Chun-Chen Yu', 'Chiu-Ching Huang', 'Cécilia Chassin', 'Mathieu Picardeau', 'Jean-Michel Goujon', 'Pascale Bourhy', 'Nathalie Quellard', 'Sylvie Darche', 'Edgar Badell', ""Martine Fanton d'Andon"", 'Nathalie Winter', 'Sonia Lacroix-Lamandé', 'Dominique Buzoni-Gatel', 'Catherine Werts', 'Eric Michel', 'Gwenn Ratet', 'Dana J Philpott', 'Stephen E Girardin', 'Ivo G Boneca', 'Béatrice Fernandez']"
263,Chiu-Ching Huang,"['Chih-Wei Yang', 'Mai-Szu Wu', 'Ming-Jeng Pan', 'Jenn-Jye Hong', 'Chun-Chen Yu', 'Alain Vandewalle', 'Huey-Liang Kuo', 'Chun-Liang Lin']"
264,K Holk,"['S V Nielsen', 'T Rønne']"
265,S V Nielsen,"['K Holk', 'T Rønne']"
266,T Rønne,"['K Holk', 'S V Nielsen']"
267,E Bernasconi,"['R Gayer', 'E Busolini', 'G Mombelli']"
268,R Gayer,"['E Bernasconi', 'E Busolini', 'G Mombelli']"
269,E Busolini,"['E Bernasconi', 'R Gayer', 'G Mombelli']"
270,G Mombelli,"['E Bernasconi', 'R Gayer', 'E Busolini']"
